"user_id","num_clicks","num_sessions","avg_session_duration","user_category","current_age","avg_flight_duration_hrs","travel_perk","age_group","gender","married","has_children","home_country","home_airport","home_airport_lat","home_airport_lon","sign_up_date","num_trips","num_flights","money_spent_hotel","flights_from_home_airport","total_seats","total_flight_cost","unique_destinations","total_trips_overall","times_of_group_bookings","total_revenue_generated_married","more_than_one_international_trip"
"491175","167","10","124.90","Solo","56","102.00","Food vouchers","46-60","F","true","true","usa","HOU","29.645","-95.279","2022-12-25","4","8","1545","4","4","1417.23","4","4","0","3646.23","Yes"
"491241","98","8","90.38","Solo","50","120.00","Food vouchers","46-60","F","true","true","usa","JFK","40.64","-73.779","2022-12-25","3","6","1258","3","3","1712.43","3","3","0","3711.86","Yes"
"491617","102","9","83.44","Business","53","162.00","Access to Business Lounges","46-60","F","false","false","canada","YHM","43.173","-79.935","2022-12-26","4","6","4875","3","6","5646.3040","3","4","1","0","Yes"
"494484","170","8","158.38","Weekenders","18","72.00","Event vouchers","18-25","F","false","false","usa","AMA","35.219","-101.706","2022-12-27","3","2","5388.60","1","2","1797.516","1","3","1","0","Yes"
"495727","187","8","175.25","Solo","48","100.00","Food vouchers","46-60","F","true","false","usa","NZY","32.699","-117.215","2022-12-28","6","11","4053","6","8","4208.63","6","6","2","9133.16","Yes"
"499366","145","8","135.13","Business","48","86.40","Access to Business Lounges","46-60","F","false","false","canada","YQB","46.788","-71.398","2022-12-30","4","8","2246","4","7","7503.192","4","4","1","0","Yes"
"499375","152","8","140.00","Solo","43","76.00","Food vouchers","36-45","F","false","false","canada","YAV","50.056","-97.032","2022-12-30","5","10","2011.4","5","6","3320.21","5","5","1","0","Yes"
"499780","348","8","322.50","Solo","37","240.00","Food vouchers","36-45","F","false","true","canada","YYZ","43.677","-79.631","2022-12-30","0","0","0","0","0","0","0","0","0","0","Yes"
"502609","173","9","143.33","Solo","50","81.60","Food vouchers","46-60","F","true","false","usa","DAL","32.847","-96.852","2022-12-31","5","10","1172","5","5","929.741","5","5","0","2101.74","Yes"
"504473","104","8","96.50","Solo","33","84.00","Food vouchers","26-35","F","false","false","usa","RIC","37.505","-77.319","2023-01-01","2","4","398","2","2","532.99","2","2","0","0","Yes"
"505172","322","8","1013.63","Business","31","368.00","Access to Business Lounges","26-35","M","true","true","usa","MCF","27.849","-82.521","2023-01-02","1","2","0","3","1","529.14","1","1","0","51226.52","Yes"
"506186","224","8","207.75","Solo","26","156.00","Food vouchers","26-35","F","false","false","usa","DTW","42.212","-83.353","2023-01-02","3","4","981","2","3","1008.07","2","3","1","0","Yes"
"506990","99","8","90.38","Standard Travellers","26","0","10% off on taxi services","26-35","F","false","false","usa","LBB","33.664","-101.823","2023-01-03","0","0","0","0","0","0","0","0","0","0","No"
"507431","123","8","115.25","Solo","36","72.00","Food vouchers","36-45","F","false","false","canada","YYZ","43.677","-79.631","2023-01-03","4","6","1058.2","3","3","1768.66","2","4","0","0","Yes"
"509353","76","9","63.44","Business","30","120.00","Access to Business Lounges","26-35","F","false","false","usa","DAL","32.847","-96.852","2023-01-04","1","2","1632","1","2","1337.36","1","1","1","0","Yes"
"509516","147","9","122.33","Solo","46","72.00","Food vouchers","46-60","F","false","false","usa","COS","38.806","-104.7","2023-01-04","3","4","854.1","2","3","2294.45","2","3","1","0","Yes"
"509826","81","9","66.56","Solo","64","144.00","Food vouchers","60+","F","true","true","usa","TNT","25.862","-80.897","2023-01-04","1","2","216","1","1","215.25","1","1","0","431.25","Yes"
"510094","75","8","69.88","Weekenders","46","240.00","Event vouchers","46-60","F","false","false","usa","LGB","33.818","-118.151","2023-01-04","1","2","1179","1","1","5.35","1","1","0","0","Yes"
"510343","237","9","369.37","Solo","39","80.00","Food vouchers","36-45","F","true","true","usa","OKC","35.393","-97.601","2023-01-04","4","8","2242.2","6","5","1805.1090","4","4","1","4998.39","Yes"
"510707","104","8","98.00","Weekenders","41","132.00","Event vouchers","36-45","F","false","true","canada","YKZ","43.862","-79.37","2023-01-05","2","4","700","2","3","369.77","2","2","1","0","Yes"
"510946","166","8","154.75","Solo","47","152.00","Food vouchers","46-60","F","true","false","canada","YXU","43.036","-81.154","2023-01-05","3","6","6826","3","5","4793.39","3","3","1","11619.39","Yes"
"511331","272","9","922.89","Solo","47","126.00","Food vouchers","46-60","F","false","true","canada","YYC","51.114","-114.02","2023-01-05","6","12","1619.45","8","10","9274.820","6","6","2","0","Yes"
"511560","141","8","130.13","Solo","38","96.00","Food vouchers","36-45","F","false","true","usa","IAB","37.623","-97.267","2023-01-05","4","7","1848","4","6","2727.7300","4","4","2","0","Yes"
"511568","107","8","100.00","Standard Travellers","21","360.00","10% off on taxi services","18-25","F","false","false","usa","BWI","39.175","-76.668","2023-01-05","1","2","0","1","1","1229.22","1","1","0","0","Yes"
"511577","79","8","73.13","Solo","43","36.00","Food vouchers","36-45","F","true","false","usa","FAT","36.776","-119.718","2023-01-05","2","4","0","2","2","975.0730","2","2","0","975.07","Yes"
"511998","93","8","87.38","Solo","42","72.00","Food vouchers","36-45","F","false","false","usa","MKE","42.947","-87.896","2023-01-05","2","4","268","2","2","725.40","2","2","0","0","Yes"
"512028","136","8","124.75","Solo","44","48.00","Food vouchers","36-45","F","false","false","usa","LGA","40.777","-73.872","2023-01-05","2","4","59","2","2","764.29","2","2","0","0","Yes"
"512201","149","8","138.13","Solo","52","114.00","Food vouchers","46-60","F","true","false","usa","SJC","37.362","-121.929","2023-01-05","4","8","1961.2","4","4","2073.76","3","4","0","4034.96","Yes"
"512243","248","9","205.89","Solo","37","72.00","Food vouchers","36-45","F","true","true","usa","CLT","35.214","-80.943","2023-01-05","3","4","1983","2","2","722.172","2","3","0","2705.17","Yes"
"512301","130","8","120.63","Solo","43","84.00","Food vouchers","36-45","F","false","false","usa","LCK","39.814","-82.928","2023-01-05","5","8","1079.6","4","4","1194.01","4","5","0","0","Yes"
"512447","72","8","67.63","Weekenders","21","96.00","Event vouchers","18-25","F","false","false","usa","SCK","37.894","-121.239","2023-01-05","2","2","1656","1","3","3934.1700","1","2","1","0","Yes"
"512495","119","8","110.13","Solo","39","120.00","Food vouchers","36-45","F","false","false","usa","LOU","38.228","-85.664","2023-01-05","6","8","6016","4","5","895.21","4","6","1","0","Yes"
"512628","135","8","124.88","Solo","35","48.00","Food vouchers","26-35","F","false","false","canada","YAV","50.056","-97.032","2023-01-05","4","6","2232.0","3","3","1210.25","3","4","0","0","Yes"
"512848","128","8","120.25","Solo","36","60.00","Food vouchers","36-45","F","false","false","usa","EFD","29.607","-95.159","2023-01-06","3","4","601.5","2","2","522.18","2","3","0","0","Yes"
"513058","231","8","214.00","Solo","52","62.40","Food vouchers","46-60","F","false","true","usa","JFK","40.64","-73.779","2023-01-06","6","10","1787","5","6","2161.15","5","6","1","0","Yes"
"513237","139","8","130.63","Solo","36","72.00","Food vouchers","36-45","F","true","true","canada","YZD","43.742","-79.466","2023-01-06","2","2","1470","1","1","588.8","1","2","0","2058.80","Yes"
"513241","50","8","46.00","Standard Travellers","36","0","10% off on taxi services","36-45","F","false","true","usa","LAS","36.08","-115.152","2023-01-06","0","0","0","0","0","0","0","0","0","0","No"
"513322","163","9","135.11","Solo","51","64.00","Food vouchers","46-60","F","false","false","usa","LGA","40.777","-73.872","2023-01-06","3","6","594","3","3","1703.66","3","3","0","0","Yes"
"513397","175","8","161.88","Solo","53","72.00","Food vouchers","46-60","F","false","false","usa","JFK","40.64","-73.779","2023-01-06","5","8","1463.20","4","4","1450.73","4","5","0","0","Yes"
"513495","111","8","104.13","Solo","31","72.00","Food vouchers","26-35","F","false","false","usa","SAN","32.733","-117.189","2023-01-06","2","2","5536.0","1","1","344.89","1","2","0","0","Yes"
"513569","87","9","72.67","Solo","18","48.00","Food vouchers","18-25","F","false","false","usa","BOS","42.364","-71.005","2023-01-06","2","2","139.40","1","1","628.7","1","2","0","0","Yes"
"513796","136","8","126.13","Solo","45","184.00","Food vouchers","36-45","F","true","false","usa","TCM","47.138","-122.476","2023-01-06","3","6","4554","3","4","3231.30","3","3","1","7785.30","Yes"
"514053","62","8","57.38","Solo","43","72.00","Food vouchers","36-45","F","true","true","canada","YYJ","48.647","-123.426","2023-01-06","2","2","2644.25","1","1","305.694","1","2","0","2949.94","Yes"
"514132","129","8","120.38","Solo","37","91.20","Food vouchers","36-45","F","false","true","usa","RND","29.529","-98.279","2023-01-06","5","10","1628","5","6","2514.11","5","5","1","0","Yes"
"514342","121","8","113.00","Business","42","162.00","Access to Business Lounges","36-45","F","false","false","usa","BWI","39.175","-76.668","2023-01-06","4","8","6010","4","6","2202.53","4","4","1","0","Yes"
"515684","228","9","186.78","Solo","54","78.86","Food vouchers","46-60","F","false","false","usa","LGA","40.777","-73.872","2023-01-07","7","14","1927.90","7","8","2698.2695","7","7","1","0","Yes"
"515874","113","9","93.56","Standard Travellers","68","0","10% off on taxi services","60+","F","true","false","usa","ANC","61.174","-149.996","2023-01-07","1","0","1962","0","0","0","0","1","0","1962.00","No"
"516076","80","8","74.25","Standard Travellers","71","0","10% off on taxi services","60+","F","true","false","usa","RAL","33.952","-117.445","2023-01-07","0","0","0","0","0","0","0","0","0","0","No"
"516216","177","8","163.88","Solo","38","72.00","Food vouchers","36-45","F","false","false","usa","PHL","39.872","-75.241","2023-01-07","4","8","960","4","4","1191.702","4","4","0","0","Yes"
"516273","91","8","84.38","Solo","41","96.00","Food vouchers","36-45","F","false","true","usa","TPA","27.975","-82.533","2023-01-07","2","4","1120","2","2","548.49","2","2","0","0","Yes"
"516290","178","8","164.38","Solo","45","108.00","Food vouchers","36-45","M","false","false","usa","OMA","41.302","-95.894","2023-01-07","3","4","3296","2","3","1260.81","2","3","1","0","Yes"
"516301","229","8","908.72","Business","27","196.00","Access to Business Lounges","26-35","F","false","false","usa","LAX","33.942","-118.408","2023-01-07","4","8","1019","6","6","6242.96","4","4","1","0","Yes"
"517076","210","8","196.75","Solo","39","72.00","Food vouchers","36-45","F","false","false","usa","CLT","35.214","-80.943","2023-01-08","5","4","4380.7","2","2","918.17","2","5","0","0","Yes"
"517491","139","8","130.75","Solo","56","76.00","Food vouchers","46-60","F","false","false","usa","BNA","36.124","-86.678","2023-01-08","8","12","5694","6","6","1973.56","5","8","0","0","Yes"
"517675","138","8","128.00","Solo","30","132.00","Food vouchers","26-35","F","true","false","canada","YTZ","43.627","-79.396","2023-01-08","4","8","3940.0","4","6","1670.440","2","4","1","5610.44","Yes"
"517931","132","9","110.33","Solo","37","96.00","Food vouchers","36-45","F","false","false","usa","PHL","39.872","-75.241","2023-01-08","5","5","13085.90","3","3","1092.25","3","5","0","0","Yes"
"518347","121","8","113.00","Solo","55","66.00","Food vouchers","46-60","F","true","true","usa","BOS","42.364","-71.005","2023-01-08","4","8","1004","4","4","1101.72","4","4","0","2105.72","Yes"
"518826","105","8","96.50","Solo","39","72.00","Food vouchers","36-45","F","false","true","canada","YUL","45.468","-73.741","2023-01-09","1","2","514","1","1","222.37","1","1","0","0","Yes"
"519406","91","8","83.38","Standard Travellers","23","0","10% off on taxi services","18-25","F","false","false","canada","YHZ","44.881","-63.509","2023-01-09","0","0","0","0","0","0","0","0","0","0","No"
"519687","99","9","82.00","Standard Travellers","25","0","10% off on taxi services","18-25","F","true","true","usa","LRD","27.544","-99.461","2023-01-09","0","0","0","0","0","0","0","0","0","0","No"
"519853","89","8","82.25","Solo","42","48.00","Food vouchers","36-45","F","false","true","usa","LGA","40.777","-73.872","2023-01-09","2","4","580","2","3","765.8080","2","2","1","0","Yes"
"519911","179","9","148.22","Solo","40","128.00","Food vouchers","36-45","F","false","false","canada","YYZ","43.677","-79.631","2023-01-09","6","12","3298","6","6","1869.354","6","6","0","0","Yes"
"520097","152","8","143.13","Solo","52","120.00","Food vouchers","46-60","F","true","false","usa","LOU","38.228","-85.664","2023-01-09","4","8","209","4","4","743.652","4","4","0","952.65","Yes"
"520291","236","9","194.67","Solo","36","156.00","Food vouchers","36-45","M","true","false","usa","LAX","33.942","-118.408","2023-01-09","4","8","2294.60","4","4","2023.15","4","4","0","4317.75","Yes"
"520603","64","8","60.63","Standard Travellers","25","0","10% off on taxi services","18-25","F","false","false","usa","MKE","42.947","-87.896","2023-01-09","0","0","0","0","0","0","0","0","0","0","No"
"520680","100","8","94.13","Solo","43","84.00","Food vouchers","36-45","F","true","false","usa","INT","36.134","-80.222","2023-01-09","2","4","940","2","2","522.5880","2","2","0","1462.59","Yes"
"520780","43","8","40.75","Standard Travellers","70","0","10% off on taxi services","60+","F","false","false","usa","JFK","40.64","-73.779","2023-01-09","0","0","0","0","0","0","0","0","0","0","No"
"520959","89","8","84.25","Solo","49","96.00","Food vouchers","46-60","F","false","false","usa","LGA","40.777","-73.872","2023-01-10","1","2","115.60","1","1","105.77","1","1","0","0","Yes"
"521187","130","9","108.44","Standard Travellers","74","0","10% off on taxi services","60+","F","true","false","usa","ORL","28.545","-81.333","2023-01-10","0","0","0","0","0","0","0","0","0","0","No"
"521295","102","8","94.50","Solo","41","168.00","Food vouchers","36-45","F","false","true","usa","BTR","30.533","-91.149","2023-01-10","2","4","1027.50","2","2","508.580","2","2","0","0","Yes"
"521316","164","9","134.44","Solo","44","204.00","Food vouchers","36-45","F","false","false","usa","BNA","36.124","-86.678","2023-01-10","3","4","1490.20","2","2","448.5195","2","3","0","0","Yes"
"521462","168","8","156.25","Business","58","72.00","Access to Business Lounges","46-60","F","true","true","usa","IND","39.717","-86.294","2023-01-10","3","6","1104","3","5","2276.59","2","3","1","3380.59","Yes"
"521609","120","8","111.63","Solo","51","132.00","Food vouchers","46-60","M","true","true","canada","YYZ","43.677","-79.631","2023-01-10","2","4","2352","2","3","334.80","2","2","1","2686.80","Yes"
"521642","104","9","86.44","Standard Travellers","59","0","10% off on taxi services","46-60","F","true","false","usa","LBB","33.664","-101.823","2023-01-10","2","0","1747.60","0","0","0","0","2","0","1747.60","No"
"521743","170","8","157.88","Solo","39","126.86","Food vouchers","36-45","F","false","false","canada","YYC","51.114","-114.02","2023-01-10","7","14","1702.10","7","7","2716.31","7","7","0","0","Yes"
"522118","95","8","88.75","Solo","51","64.00","Food vouchers","46-60","F","true","false","usa","DSM","41.534","-93.663","2023-01-10","3","6","612","3","3","685.41","3","3","0","1297.41","Yes"
"522427","112","8","104.25","Solo","24","156.00","Food vouchers","18-25","M","false","false","usa","SAT","29.534","-98.47","2023-01-10","3","4","4294","2","2","850.5795","2","3","0","0","Yes"
"522438","231","8","214.38","Solo","55","86.40","Food vouchers","46-60","M","true","true","canada","YVR","49.195","-123.182","2023-01-10","5","10","1860.70","5","6","3610.18","4","5","1","5470.88","Yes"
"522687","168","10","125.40","Solo","45","208.00","Food vouchers","36-45","F","true","true","usa","LGA","40.777","-73.872","2023-01-10","4","6","1430","3","5","2446.66","3","4","1","3876.66","Yes"
"523077","152","8","139.25","Solo","32","120.00","Food vouchers","26-35","F","false","false","usa","CRP","27.77","-97.501","2023-01-11","4","2","4804.2","1","1","551.81","1","4","0","0","Yes"
"523338","200","9","163.11","Solo","38","108.00","Food vouchers","36-45","F","true","true","usa","LGA","40.777","-73.872","2023-01-11","4","8","5482.3","4","4","592.54","4","4","0","6074.84","Yes"
"523860","63","8","57.63","Business","40","72.00","Access to Business Lounges","36-45","F","true","true","usa","TYS","35.812","-83.993","2023-01-11","3","4","2445.6","2","5","4454.64","2","3","1","6900.24","Yes"
"523866","137","8","128.13","Solo","17","108.00","Food vouchers","Under 18","F","false","false","canada","YKZ","43.862","-79.37","2023-01-11","3","5","567","3","3","1300.26","3","3","0","0","Yes"
"523981","137","8","127.38","Solo","52","66.00","Food vouchers","46-60","F","false","false","canada","YEG","53.31","-113.58","2023-01-11","5","8","1714","4","4","1962.45","4","5","0","0","Yes"
"524057","75","8","70.13","Standard Travellers","72","0","10% off on taxi services","60+","F","true","false","usa","JFK","40.64","-73.779","2023-01-11","1","0","426","0","0","0","0","1","0","426.00","No"
"524180","160","8","150.25","Solo","56","72.00","Food vouchers","46-60","F","false","false","canada","YUL","45.468","-73.741","2023-01-11","5","8","4505.75","5","7","5154.9800","5","5","2","0","Yes"
"525176","226","8","208.63","Solo","70","48.00","Food vouchers","60+","F","false","false","usa","IAD","38.944","-77.456","2023-01-12","1","2","0","1","1","117.16","1","1","0","0","Yes"
"525546","162","8","149.25","Solo","45","136.00","Food vouchers","36-45","F","true","true","usa","LUK","39.103","-84.419","2023-01-12","6","7","6677.00","4","4","971.44","4","6","0","7648.44","Yes"
"525996","185","9","153.00","Solo","46","96.00","Food vouchers","46-60","M","false","false","usa","INT","36.134","-80.222","2023-01-12","6","8","4036.85","4","4","1167.24","4","6","0","0","Yes"
"526062","171","8","159.38","Solo","45","144.00","Food vouchers","36-45","M","true","false","usa","MXF","32.379","-86.362","2023-01-12","5","8","7138.60","4","5","1420.548","4","5","1","8559.15","Yes"
"526365","131","8","123.38","Business","29","104.00","Access to Business Lounges","26-35","F","false","false","usa","BNA","36.124","-86.678","2023-01-12","3","6","2478.0","3","6","2884.733","3","3","2","0","Yes"
"526372","126","8","119.13","Solo","47","204.00","Food vouchers","46-60","F","false","true","usa","COS","38.806","-104.7","2023-01-12","2","4","878","2","2","677.80","2","2","0","0","Yes"
"526378","194","8","179.38","Solo","48","90.00","Food vouchers","46-60","F","false","true","canada","YKZ","43.862","-79.37","2023-01-12","5","8","1192","4","4","1260.40","4","5","0","0","Yes"
"526916","96","8","91.13","Standard Travellers","57","0","10% off on taxi services","46-60","F","true","false","usa","OMA","41.302","-95.894","2023-01-12","0","0","0","0","0","0","0","0","0","0","No"
"527158","174","8","480.06","Business","51","156.00","Access to Business Lounges","46-60","F","true","false","canada","YYJ","48.647","-123.426","2023-01-13","2","4","733","4","4","2594.35","2","2","1","21529.39","Yes"
"527280","94","9","78.78","Standard Travellers","48","24.00","10% off on taxi services","46-60","F","false","false","usa","ORF","36.894","-76.201","2023-01-13","2","2","820","1","1","610.3","1","2","0","0","Yes"
"527321","92","8","85.50","Standard Travellers","17","0","10% off on taxi services","Under 18","F","false","false","canada","YHZ","44.881","-63.509","2023-01-13","1","0","340","0","0","0","0","1","0","0","No"
"527508","130","8","121.50","Solo","54","152.00","Food vouchers","46-60","F","true","false","usa","SAT","29.534","-98.47","2023-01-13","3","6","1585","3","3","1107.73","3","3","0","2692.73","Yes"
"527726","110","8","102.63","Business","48","60.00","Access to Business Lounges","46-60","F","true","true","usa","CLT","35.214","-80.943","2023-01-13","2","4","0","2","2","945.5380","2","2","0","945.54","Yes"
"527801","108","9","90.33","Standard Travellers","58","0","10% off on taxi services","46-60","F","true","true","usa","MOD","37.626","-120.954","2023-01-13","0","0","0","0","0","0","0","0","0","0","No"
"527928","173","8","160.63","Solo","35","96.00","Food vouchers","26-35","M","true","false","usa","OFF","41.118","-95.913","2023-01-13","2","4","1236","2","3","1642.77","2","2","1","2878.77","Yes"
"528580","134","9","110.78","Solo","48","144.00","Food vouchers","46-60","F","true","false","usa","JFK","40.64","-73.779","2023-01-13","3","4","2473.4","2","3","3103.00","2","3","1","5576.40","Yes"
"528690","116","9","95.89","Business","37","80.00","Access to Business Lounges","36-45","F","true","true","usa","UGN","42.422","-87.868","2023-01-13","3","6","973","3","5","1414.10","3","3","1","2387.10","Yes"
"528953","388","8","1074.00","Solo","52","132.00","Food vouchers","46-60","F","true","false","canada","YXE","52.171","-106.7","2023-01-13","3","4","8521.70","4","2","650.71","2","3","0","10179.40","Yes"
"529704","323","9","901.78","Business","67","360.00","Access to Business Lounges","60+","F","true","false","usa","DAL","32.847","-96.852","2023-01-14","1","0","1530","2","0","0","0","1","0","5602.56","Yes"
"530374","106","9","88.11","Solo","33","120.00","Food vouchers","26-35","F","true","false","usa","BTV","44.472","-73.153","2023-01-14","2","4","928.2","2","2","534.95","2","2","0","1463.15","Yes"
"530719","133","9","110.33","Solo","49","80.00","Food vouchers","46-60","F","false","false","usa","BWI","39.175","-76.668","2023-01-14","4","7","1120.6","4","4","589.8505","4","4","0","0","Yes"
"530720","164","8","388.76","Solo","43","158.40","Food vouchers","36-45","F","true","false","canada","YXU","43.036","-81.154","2023-01-14","3","6","1142.8","5","3","775.48","3","3","0","12409.88","Yes"
"530801","111","8","104.50","Solo","44","96.00","Food vouchers","36-45","M","false","true","canada","YKZ","43.862","-79.37","2023-01-14","3","4","1308.75","2","2","1304.47","2","3","0","0","Yes"
"530881","120","8","112.50","Solo","37","96.00","Food vouchers","36-45","F","false","true","usa","NCA","34.708","-77.439","2023-01-14","4","8","1667","4","4","1205.82","4","4","0","0","Yes"
"531456","58","8","54.00","Standard Travellers","19","0","10% off on taxi services","18-25","F","false","false","canada","YVR","49.195","-123.182","2023-01-15","2","0","928","0","0","0","0","2","0","0","No"
"531803","93","8","87.00","Standard Travellers","24","0","10% off on taxi services","18-25","F","false","false","usa","YIP","42.238","-83.53","2023-01-15","0","0","0","0","0","0","0","0","0","0","No"
"531857","142","9","115.56","Solo","21","48.00","Food vouchers","18-25","F","false","false","usa","PHL","39.872","-75.241","2023-01-15","2","3","918","2","2","698.90","2","2","0","0","Yes"
"531926","152","8","140.75","Business","28","48.00","Access to Business Lounges","26-35","F","false","false","usa","NZY","32.699","-117.215","2023-01-15","2","4","0","2","4","5143.253","2","2","1","0","Yes"
"531931","75","8","70.88","Solo","40","84.00","Food vouchers","36-45","F","false","false","usa","SJC","37.362","-121.929","2023-01-15","2","4","985","2","3","3353.26","2","2","1","0","Yes"
"531971","96","8","89.00","Solo","59","108.00","Food vouchers","46-60","F","true","true","usa","BTV","44.472","-73.153","2023-01-15","2","4","456","2","2","762.62","2","2","0","1218.62","Yes"
